Pickup Location,Request to Pickup,Hour of Day,Time of Day,Month of Year
71,310.0,15,afternoon,7
164,-382.0,18,evening,5
116,379.0,5,night,8
158,120.0,22,night,8
50,282.0,3,night,4
123,338.0,21,night,7
211,394.0,0,night,7
7,381.0,12,afternoon,4
127,280.0,14,afternoon,8
36,88.0,13,afternoon,3
56,203.0,8,morning,4
244,269.0,22,night,4
229,107.0,0,night,11
130,571.0,23,night,7
205,778.0,8,morning,7
35,351.0,15,afternoon,2
144,131.0,21,night,1
123,170.0,18,evening,11
209,101.0,17,evening,2
164,429.0,13,afternoon,7
132,343.0,22,night,4
155,201.0,17,evening,1
132,430.0,21,night,3
35,370.0,13,afternoon,3
256,255.00000000000003,12,afternoon,2
222,142.0,16,afternoon,3
36,336.0,13,afternoon,6
216,232.00000000000003,11,morning,3
243,849.0,12,afternoon,7
116,451.0,12,afternoon,10
147,462.00000000000006,7,morning,4
158,378.0,19,evening,10
246,243.00000000000003,17,evening,8
155,699.0,23,night,6
263,362.0,17,evening,3
235,543.0,20,night,5
215,318.0,8,morning,4
230,317.0,22,night,4
138,161.0,13,afternoon,6
263,398.0,17,evening,6
237,-611.0,6,morning,2
225,333.0,13,afternoon,11
235,254.00000000000003,13,afternoon,6
146,147.0,10,morning,1
76,499.00000000000006,8,morning,5
113,154.0,15,afternoon,7
195,993.0,0,night,10
138,71.0,8,morning,3
84,237.00000000000003,13,afternoon,4
130,163.0,14,afternoon,11
241,181.0,18,evening,8
189,347.0,22,night,12
76,529.0,22,night,8
82,275.0,14,afternoon,3
61,575.0,10,morning,1
241,33.0,14,afternoon,12
260,79.0,16,afternoon,3
205,616.0,3,night,1
260,401.0,22,night,1
98,230.00000000000003,19,evening,8
145,422.0,11,morning,6
123,164.0,8,morning,11
171,84.0,20,night,6
137,137.0,12,afternoon,3
237,55.0,9,morning,6
234,126.0,21,night,2
246,345.0,16,afternoon,10
195,373.0,17,evening,4
121,103.0,17,evening,7
198,325.0,22,night,6
79,377.0,18,evening,6
25,494.00000000000006,21,night,6
223,253.00000000000003,10,morning,2
69,411.0,19,evening,3
229,319.0,19,evening,4
127,305.0,7,morning,4
263,470.00000000000006,7,morning,6
228,367.0,10,morning,5
77,294.0,16,afternoon,11
138,1231.0,22,night,6
230,833.0,22,night,2
90,114.0,13,afternoon,7
233,407.0,22,night,7
236,371.0,14,afternoon,3
257,132.0,11,morning,6
197,297.0,8,morning,3
25,344.0,3,night,7
139,272.0,11,morning,9
68,-599.0,18,evening,10
42,241.00000000000003,9,morning,10
243,292.0,18,evening,6
157,302.0,20,night,10
70,172.0,17,evening,11
174,211.0,20,night,8
76,318.0,3,night,10
133,350.0,21,night,1
68,120.0,16,afternoon,1
168,144.0,22,night,3
153,639.0,1,night,2
254,223.0,10,morning,1
79,197.0,16,afternoon,4
247,204.0,18,evening,3
126,383.0,22,night,4
220,439.0,18,evening,6
71,262.0,14,afternoon,1
89,405.0,14,afternoon,7
132,225.0,7,morning,5
37,225.0,22,night,5
158,493.00000000000006,3,night,5
131,154.0,10,morning,6
68,142.0,9,morning,9
107,182.0,11,morning,2
255,122.0,20,night,6
234,166.0,9,morning,6
107,278.0,1,night,6
179,127.0,16,afternoon,9
50,241.00000000000003,9,morning,10
167,301.0,6,morning,3
262,218.0,17,evening,6
219,102.0,13,afternoon,6
90,105.0,6,morning,8
75,204.0,6,morning,3
135,233.00000000000003,16,afternoon,3
74,500.00000000000006,16,afternoon,8
228,473.00000000000006,11,morning,9
91,560.0,22,night,10
151,161.0,15,afternoon,8
263,174.0,12,afternoon,1
221,385.0,22,night,8
181,99.0,20,night,2
205,399.0,6,morning,7
247,255.00000000000003,1,night,2
211,440.0,21,night,10
162,547.0,20,night,2
256,243.00000000000003,5,night,6
261,155.0,3,night,1
231,387.0,23,night,4
91,394.0,18,evening,1
237,260.0,10,morning,8
21,171.0,8,morning,1
263,510.00000000000006,14,afternoon,3
106,324.0,23,night,8
75,113.0,10,morning,6
185,153.0,16,afternoon,6
216,127.0,17,evening,3
92,533.0,17,evening,3
198,121.0,20,night,4
152,227.0,10,morning,3
181,405.0,18,evening,5
239,200.0,22,night,3
144,253.00000000000003,2,night,6
82,151.0,6,morning,3
89,298.0,15,afternoon,8
189,207.0,23,night,2
98,416.0,10,morning,6
61,316.0,5,night,8
229,146.0,10,morning,3
210,213.0,11,morning,9
74,237.00000000000003,21,night,9
13,389.0,23,night,1
130,224.0,19,evening,8
37,291.0,9,morning,1
88,504.00000000000006,1,night,2
181,444.0,13,afternoon,5
9,214.0,8,morning,8
140,387.0,18,evening,2
36,327.0,6,morning,7
146,206.0,17,evening,3
33,292.0,6,morning,4
229,313.0,22,night,10
80,155.0,11,morning,8
100,229.00000000000003,17,evening,3
164,739.0,12,afternoon,12
64,105.0,15,afternoon,5
56,644.0,14,afternoon,12
218,323.0,15,afternoon,4
62,492.00000000000006,5,night,5
132,117.0,16,afternoon,11
48,95.0,16,afternoon,2
130,169.0,15,afternoon,1
233,339.0,14,afternoon,9
79,138.0,21,night,7
249,444.0,23,night,3
51,648.0,19,evening,3
231,185.0,8,morning,5
114,267.0,17,evening,4
173,384.0,8,morning,7
228,419.0,19,evening,3
42,457.00000000000006,0,night,9
239,203.0,18,evening,3
254,176.0,19,evening,5
238,263.0,15,afternoon,5
18,533.0,22,night,11
138,1094.0,13,afternoon,9
62,1351.0,7,morning,2
92,200.0,17,evening,2
144,153.0,18,evening,9
13,334.0,9,morning,8
80,114.0,17,evening,10
132,156.0,8,morning,3
168,206.0,9,morning,4
112,205.0,16,afternoon,10
148,818.0,3,night,1
124,258.0,22,night,6
170,228.0,20,night,5
79,295.0,9,morning,5
229,209.0,19,evening,1
129,304.0,4,night,4
56,307.0,11,morning,11
80,221.0,18,evening,1
254,176.0,9,morning,12
234,202.0,22,night,5
230,163.0,7,morning,5
125,154.0,22,night,3
236,355.0,12,afternoon,12
155,227.0,14,afternoon,4
76,544.0,17,evening,8
132,451.0,11,morning,1
36,210.0,14,afternoon,2
205,569.0,21,night,8
231,479.00000000000006,22,night,3
223,133.0,20,night,12
244,155.0,1,night,1
196,481.00000000000006,13,afternoon,6
163,251.00000000000003,11,morning,5
74,711.0,15,afternoon,9
249,119.0,21,night,11
234,83.0,21,night,6
45,324.0,3,night,1
158,190.0,2,night,8
152,253.00000000000003,23,night,11
79,228.0,13,afternoon,1
166,410.0,23,night,3
231,193.0,9,morning,11
172,239.00000000000003,12,afternoon,4
132,562.0,18,evening,7
230,395.0,15,afternoon,9
186,420.0,22,night,5
61,299.0,20,night,5
181,87.0,17,evening,4
230,231.00000000000003,21,night,11
170,122.0,8,morning,1
142,447.0,20,night,10
254,151.0,23,night,7
90,256.0,0,night,10
85,379.0,20,night,4
143,116.0,6,morning,8
160,301.0,20,night,7
17,302.0,8,morning,8
139,176.0,20,night,5
132,917.0,22,night,8
237,156.0,9,morning,11
113,103.0,16,afternoon,4
22,186.0,21,night,2
89,416.0,2,night,3
148,528.0,0,night,12
141,146.0,23,night,5
161,199.0,21,night,3
63,163.0,20,night,2
228,263.0,12,afternoon,7
93,747.0,18,evening,9
177,194.0,23,night,5
74,238.00000000000003,23,night,1
143,362.0,6,morning,6
48,303.0,14,afternoon,6
163,72.0,19,evening,11
164,336.0,21,night,7
234,189.0,10,morning,12
229,141.0,19,evening,2
138,132.0,21,night,1
100,292.0,1,night,2
89,151.0,11,morning,2
234,130.0,16,afternoon,3
257,135.0,19,evening,8
243,193.0,19,evening,8
247,297.0,5,night,10
186,-695.0,5,night,10
230,406.0,22,night,5
114,706.0,17,evening,10
83,200.0,3,night,6
170,151.0,9,morning,12
255,203.0,20,night,2
13,464.00000000000006,17,evening,7
149,274.0,3,night,7
119,593.0,21,night,4
171,210.0,21,night,9
138,599.0,17,evening,2
255,104.0,12,afternoon,9
143,283.0,16,afternoon,12
224,519.0,18,evening,10
17,411.0,18,evening,7
228,127.0,16,afternoon,1
102,528.0,15,afternoon,4
43,494.00000000000006,18,evening,9
143,736.0,15,afternoon,6
53,301.0,14,afternoon,6
242,240.00000000000003,19,evening,5
36,160.0,19,evening,8
69,274.0,23,night,8
238,212.0,7,morning,7
211,861.0,18,evening,3
137,506.00000000000006,20,night,4
140,196.0,8,morning,8
148,357.0,17,evening,5
186,184.0,11,morning,2
163,288.0,10,morning,7
136,502.00000000000006,7,morning,3
14,164.0,19,evening,6
62,327.0,11,morning,5
124,434.0,15,afternoon,5
79,290.0,20,night,3
171,683.0,23,night,7
41,333.0,2,night,1
60,456.0,3,night,1
132,742.0,21,night,4
142,362.0,11,morning,10
117,386.0,0,night,7
214,293.0,18,evening,11
250,404.0,13,afternoon,1
151,543.0,8,morning,6
132,707.0,23,night,12
189,-762.0,14,afternoon,6
237,122.0,19,evening,3
260,386.0,19,evening,3
62,257.0,8,morning,12
37,579.0,23,night,5
186,586.0,2,night,11
197,152.0,20,night,6
249,130.0,1,night,2
112,204.0,19,evening,4
185,512.0,22,night,8
231,184.0,17,evening,1
164,271.0,7,morning,11
148,-187.0,7,morning,6
171,192.0,10,morning,1
91,557.0,4,night,8
98,406.0,1,night,5
256,161.0,20,night,12
13,111.0,9,morning,2
90,249.00000000000003,10,morning,7
76,42.0,10,morning,5
234,240.00000000000003,13,afternoon,5
213,299.0,10,morning,11
169,286.0,0,night,5
249,195.0,4,night,8
186,329.0,17,evening,7
164,976.0,17,evening,5
35,121.0,19,evening,1
170,134.0,10,morning,3
234,198.0,14,afternoon,2
139,529.0,14,afternoon,10
82,-900.0,7,morning,9
138,450.0,17,evening,3
237,293.0,18,evening,5
102,207.0,22,night,4
137,261.0,16,afternoon,11
247,85.0,14,afternoon,2
186,160.0,6,morning,7
87,262.0,21,night,3
82,148.0,18,evening,8
173,907.0,20,night,4
138,257.0,12,afternoon,2
231,120.0,10,morning,10
15,295.0,18,evening,1
13,102.0,20,night,1
241,369.0,14,afternoon,1
146,365.0,18,evening,1
236,388.0,14,afternoon,5
48,372.0,19,evening,3
74,188.0,18,evening,1
47,260.0,12,afternoon,5
80,117.0,1,night,11
215,383.0,20,night,4
88,399.0,22,night,4
225,257.0,1,night,7
36,188.0,18,evening,12
177,218.0,22,night,5
3,236.00000000000003,17,evening,6
79,261.0,14,afternoon,7
230,226.0,16,afternoon,5
52,491.00000000000006,10,morning,3
72,114.0,7,morning,9
167,354.0,11,morning,11
118,250.00000000000003,18,evening,4
217,222.0,20,night,8
130,233.00000000000003,11,morning,6
173,536.0,4,night,8
50,1416.0,8,morning,12
7,149.0,8,morning,10
132,326.0,22,night,3
83,107.0,6,morning,2
180,207.0,14,afternoon,3
112,258.0,19,evening,6
112,159.0,0,night,8
250,287.0,17,evening,6
197,361.0,14,afternoon,4
35,266.0,22,night,8
237,299.0,2,night,12
141,245.00000000000003,23,night,5
107,351.0,17,evening,10
224,615.0,22,night,5
230,171.0,19,evening,1
170,224.0,21,night,2
191,139.0,20,night,7
77,439.0,19,evening,8
134,444.0,3,night,3
91,250.00000000000003,14,afternoon,3
125,367.0,11,morning,5
61,93.0,21,night,4
74,417.0,22,night,4
95,681.0,19,evening,4
78,184.0,16,afternoon,2
132,485.00000000000006,18,evening,2
226,174.0,13,afternoon,5
136,159.0,7,morning,1
88,423.0,17,evening,8
235,379.0,23,night,7
183,474.00000000000006,16,afternoon,10
68,71.0,23,night,8
47,227.0,9,morning,4
13,315.0,10,morning,2
212,183.0,21,night,12
228,151.0,8,morning,12
149,346.0,15,afternoon,6
10,204.0,21,night,8
77,175.0,18,evening,3
144,251.00000000000003,19,evening,2
106,103.0,17,evening,3
20,176.0,23,night,7
170,136.0,20,night,5
173,429.0,23,night,7
200,210.0,21,night,1
37,283.0,18,evening,10
14,127.0,12,afternoon,11
162,110.0,15,afternoon,5
182,308.0,6,morning,3
80,285.0,10,morning,6
247,234.00000000000003,23,night,2
75,190.0,23,night,1
74,101.0,7,morning,9
218,218.0,22,night,2
231,221.0,13,afternoon,5
16,273.0,16,afternoon,8
130,292.0,10,morning,10
186,131.0,18,evening,5
188,281.0,15,afternoon,12
258,210.0,23,night,7
129,85.0,21,night,1
92,231.00000000000003,19,evening,7
89,209.0,12,afternoon,1
55,327.0,17,evening,1
123,396.0,16,afternoon,10
185,57.0,18,evening,8
68,398.0,19,evening,10
164,175.0,2,night,7
236,372.0,15,afternoon,5
232,137.0,23,night,4
50,256.0,5,night,12
85,128.0,10,morning,9
75,271.0,10,morning,6
186,169.0,14,afternoon,6
130,91.0,16,afternoon,1
249,232.00000000000003,3,night,6
37,190.0,19,evening,7
170,124.0,9,morning,4
95,476.00000000000006,8,morning,2
249,328.0,8,morning,1
114,672.0,23,night,1
112,297.0,6,morning,3
129,171.0,3,night,8
36,239.00000000000003,3,night,2
200,209.0,14,afternoon,6
200,298.0,10,morning,1
187,286.0,8,morning,3
80,451.0,3,night,4
107,224.0,16,afternoon,11
170,187.0,17,evening,8
254,208.0,23,night,8
255,231.00000000000003,17,evening,10
136,280.0,19,evening,8
24,227.0,10,morning,6
145,243.00000000000003,17,evening,3
80,329.0,13,afternoon,7
210,757.0,14,afternoon,2
246,292.0,22,night,10
233,310.0,7,morning,5
200,126.0,5,night,1
33,512.0,12,afternoon,9
256,97.0,18,evening,7
93,795.0,22,night,7
243,511.00000000000006,7,morning,3
125,294.0,17,evening,5
171,170.0,3,night,12
79,453.0,0,night,5
237,369.0,16,afternoon,5
238,280.0,21,night,1
67,381.0,13,afternoon,12
162,171.0,16,afternoon,5
50,218.0,19,evening,7
247,259.0,0,night,8
113,212.0,20,night,12
33,319.0,22,night,5
66,503.00000000000006,15,afternoon,9
244,130.0,21,night,9
223,557.0,20,night,4
141,186.0,12,afternoon,3
262,257.0,5,night,7
42,352.0,19,evening,8
235,318.0,16,afternoon,4
132,435.0,3,night,2
187,261.0,16,afternoon,3
213,254.00000000000003,9,morning,3
255,125.0,9,morning,1
121,449.0,13,afternoon,11
188,82.0,0,night,1
40,1039.0,21,night,4
89,34.0,20,night,2
232,120.0,19,evening,1
50,190.0,10,morning,6
230,1191.0,12,afternoon,5
232,370.0,13,afternoon,1
229,239.00000000000003,13,afternoon,11
51,208.0,11,morning,7
36,156.0,13,afternoon,11
230,218.0,14,afternoon,7
48,351.0,23,night,3
246,152.0,16,afternoon,5
258,177.0,14,afternoon,5
61,806.0,7,morning,6
13,265.0,18,evening,1
22,178.0,10,morning,11
168,292.0,17,evening,7
69,393.0,3,night,2
228,102.0,17,evening,4
143,148.0,15,afternoon,3
218,143.0,12,afternoon,3
230,334.0,8,morning,6
97,324.0,3,night,11
157,324.0,10,morning,3
48,381.0,22,night,6
161,226.0,13,afternoon,3
91,213.0,13,afternoon,6
35,300.0,16,afternoon,7
159,-866.0,5,night,4
226,341.0,18,evening,3
186,417.0,8,morning,3
62,234.00000000000003,20,night,12
152,279.0,20,night,4
78,499.00000000000006,13,afternoon,11
76,445.0,21,night,6
223,253.00000000000003,13,afternoon,4
167,419.0,12,afternoon,7
114,153.0,18,evening,3
22,228.0,17,evening,2
230,578.0,23,night,4
13,438.0,18,evening,1
181,355.0,15,afternoon,8
36,412.0,1,night,5
136,153.0,19,evening,7
42,239.00000000000003,8,morning,6
112,326.0,22,night,2
50,334.0,9,morning,7
138,374.0,20,night,10
222,276.0,19,evening,6
234,409.0,20,night,3
149,285.0,2,night,2
48,303.0,13,afternoon,2
28,150.0,20,night,7
69,219.0,9,morning,5
42,209.0,22,night,10
193,128.0,15,afternoon,7
238,174.0,1,night,1
100,225.0,18,evening,8
80,270.0,18,evening,4
71,385.0,10,morning,4
77,266.0,9,morning,7
68,216.0,12,afternoon,7
7,426.0,23,night,6
217,316.0,14,afternoon,2
87,189.0,0,night,6
138,1241.0,23,night,9
35,260.0,8,morning,7
212,162.0,19,evening,1
143,258.0,20,night,1
226,232.00000000000003,13,afternoon,3
68,223.0,23,night,5
139,251.00000000000003,16,afternoon,11
127,137.0,16,afternoon,4
133,206.0,12,afternoon,6
37,261.0,19,evening,11
235,396.0,11,morning,7
144,252.00000000000003,13,afternoon,2
109,224.0,14,afternoon,7
132,751.0,17,evening,9
48,186.0,21,night,3
206,367.0,8,morning,1
18,126.0,14,afternoon,3
132,393.0,12,afternoon,5
25,268.0,15,afternoon,5
49,162.0,19,evening,1
138,603.0,20,night,5
28,120.0,17,evening,9
69,122.0,12,afternoon,10
249,873.0,22,night,9
242,163.0,20,night,10
73,267.0,10,morning,8
100,271.0,19,evening,3
107,228.0,3,night,3
226,56.0,11,morning,6
47,371.0,20,night,7
25,239.00000000000003,13,afternoon,11
246,434.0,20,night,9
170,554.0,18,evening,9
107,152.0,0,night,6
63,99.0,12,afternoon,12
114,357.0,19,evening,2
138,319.0,23,night,3
262,161.0,14,afternoon,2
25,414.0,19,evening,3
225,114.0,1,night,2
60,469.00000000000006,16,afternoon,3
170,98.0,1,night,8
243,281.0,22,night,11
36,219.0,21,night,8
41,183.0,9,morning,3
48,572.0,17,evening,9
140,139.0,21,night,1
76,70.0,16,afternoon,4
112,72.0,20,night,5
164,63.00000000000001,12,afternoon,11
65,161.0,15,afternoon,8
220,241.00000000000003,21,night,5
216,64.0,15,afternoon,7
75,291.0,17,evening,1
181,168.0,1,night,9
234,320.0,2,night,4
140,1461.0,15,afternoon,10
43,249.00000000000003,12,afternoon,4
17,508.00000000000006,5,night,6
203,322.0,11,morning,2
246,202.0,10,morning,6
227,139.0,14,afternoon,1
36,266.0,22,night,5
152,188.0,4,night,8
113,550.0,8,morning,4
65,464.00000000000006,0,night,6
13,-461.00000000000006,7,morning,7
4,114.0,8,morning,4
182,120.0,18,evening,6
41,498.00000000000006,18,evening,6
86,376.0,10,morning,4
217,416.0,9,morning,6
192,224.0,14,afternoon,10
179,249.00000000000003,22,night,7
76,345.0,19,evening,12
236,134.0,18,evening,1
158,247.00000000000003,0,night,10
88,183.0,15,afternoon,7
174,245.00000000000003,22,night,6
198,420.0,8,morning,6
61,526.0,0,night,12
244,287.0,13,afternoon,1
153,294.0,13,afternoon,3
40,189.0,17,evening,8
125,644.0,17,evening,9
80,265.0,1,night,5
68,467.00000000000006,16,afternoon,5
226,251.00000000000003,20,night,10
154,305.0,10,morning,4
132,226.0,19,evening,5
10,232.00000000000003,5,night,7
76,389.0,23,night,1
112,236.00000000000003,20,night,8
148,239.00000000000003,23,night,10
13,130.0,11,morning,1
39,538.0,13,afternoon,2
95,332.0,12,afternoon,2
126,209.0,15,afternoon,1
75,384.0,4,night,7
88,673.0,19,evening,3
16,95.0,23,night,6
61,560.0,1,night,7
236,563.0,17,evening,9
51,244.00000000000003,12,afternoon,4
50,194.0,11,morning,2
249,121.0,21,night,8
261,250.00000000000003,10,morning,11
21,151.0,6,morning,3
48,370.0,6,morning,10
220,252.00000000000003,3,night,7
237,115.0,0,night,8
143,221.0,14,afternoon,7
247,573.0,13,afternoon,6
121,263.0,20,night,9
211,61.00000000000001,20,night,6
138,347.0,19,evening,4
155,416.0,17,evening,7
246,295.0,0,night,9
163,201.0,20,night,4
112,169.0,16,afternoon,9
255,241.00000000000003,13,afternoon,2
149,410.0,13,afternoon,3
92,386.0,23,night,2
197,242.00000000000003,12,afternoon,7
250,243.00000000000003,23,night,3
59,190.0,18,evening,2
235,316.0,23,night,3
148,113.0,2,night,10
20,323.0,17,evening,4
138,451.0,11,morning,6
198,255.00000000000003,0,night,12
162,395.0,22,night,12
234,154.0,18,evening,1
148,402.0,18,evening,7
141,217.0,15,afternoon,1
246,166.0,16,afternoon,7
13,452.0,20,night,4
48,181.0,10,morning,4
225,540.0,23,night,9
234,379.0,19,evening,12
208,266.0,17,evening,7
132,234.00000000000003,14,afternoon,3
260,220.0,21,night,1
55,545.0,17,evening,10
17,212.0,23,night,5
232,235.00000000000003,18,evening,1
76,312.0,2,night,12
196,473.00000000000006,7,morning,12
238,243.00000000000003,8,morning,3
26,120.0,9,morning,6
140,329.0,15,afternoon,4
100,258.0,22,night,3
165,238.00000000000003,10,morning,1
229,181.0,19,evening,2
22,190.0,9,morning,12
87,208.0,15,afternoon,1
74,253.00000000000003,23,night,9
244,109.0,19,evening,3
113,81.0,21,night,2
249,237.00000000000003,0,night,5
121,963.0,23,night,4
79,200.0,7,morning,1
206,198.0,23,night,8
258,242.00000000000003,9,morning,2
41,205.0,19,evening,11
112,369.0,3,night,1
116,245.00000000000003,23,night,8
231,91.0,15,afternoon,6
231,303.0,18,evening,2
231,183.0,19,evening,6
164,394.0,6,morning,11
177,196.0,17,evening,6
208,222.0,16,afternoon,6
162,628.0,0,night,12
89,210.0,5,night,7
224,642.0,21,night,4
164,239.00000000000003,10,morning,4
97,237.00000000000003,22,night,3
254,258.0,23,night,3
138,485.00000000000006,14,afternoon,7
145,200.0,14,afternoon,5
36,255.00000000000003,10,morning,1
65,217.0,20,night,4
7,128.0,9,morning,5
132,806.0,22,night,9
116,185.0,5,night,4
132,420.0,23,night,4
42,224.0,22,night,4
211,360.0,22,night,3
69,187.0,19,evening,5
223,369.0,11,morning,12
203,504.00000000000006,21,night,8
138,767.0,21,night,6
166,180.0,19,evening,8
147,296.0,18,evening,10
112,181.0,12,afternoon,11
233,212.0,7,morning,12
196,155.0,14,afternoon,11
235,236.00000000000003,17,evening,5
249,99.0,10,morning,9
79,293.0,1,night,8
212,267.0,18,evening,2
170,211.0,11,morning,1
50,-870.0,6,morning,11
86,201.0,14,afternoon,4
209,537.0,11,morning,5
79,328.0,19,evening,6
124,265.0,16,afternoon,8
68,662.0,17,evening,9
72,241.00000000000003,2,night,4
71,534.0,7,morning,10
107,1949.0,8,morning,5
230,144.0,16,afternoon,12
14,192.0,21,night,2
181,99.0,21,night,10
37,425.0,19,evening,12
258,192.0,8,morning,2
236,412.0,17,evening,4
75,131.0,13,afternoon,6
74,279.0,20,night,7
163,315.0,18,evening,1
179,424.0,14,afternoon,5
74,332.0,3,night,10
158,101.0,22,night,1
49,212.0,22,night,8
90,154.0,16,afternoon,1
41,815.0,7,morning,7
55,550.0,9,morning,2
107,239.00000000000003,10,morning,6
231,216.0,17,evening,8
145,234.00000000000003,14,afternoon,10
188,219.0,13,afternoon,8
116,222.0,17,evening,11
35,410.0,16,afternoon,9
138,502.00000000000006,23,night,4
145,139.0,22,night,5
249,565.0,9,morning,5
244,227.0,8,morning,6
164,243.00000000000003,14,afternoon,2
6,141.0,9,morning,2
123,181.0,12,afternoon,2
75,128.0,20,night,1
255,201.0,3,night,9
229,222.0,20,night,6
34,603.0,18,evening,10
142,225.0,0,night,3
225,89.0,18,evening,8
163,125.0,16,afternoon,7
255,478.00000000000006,0,night,12
141,387.0,18,evening,6
230,258.0,0,night,7
107,570.0,16,afternoon,12
148,429.0,1,night,7
18,279.0,13,afternoon,5
262,103.0,0,night,9
33,417.0,10,morning,9
26,279.0,13,afternoon,12
179,118.0,14,afternoon,10
142,156.0,18,evening,6
145,227.0,21,night,6
232,228.0,23,night,7
90,380.0,21,night,4
